title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Acta de la declaración Independencia de las Provincias Unidas del Sur en español","Congreso de las Provincias Unidas en Sud-América","1816","Acta de la declaración Independencia de las Provincias Unidas del Sur en español","independencia; provincias unidas del sur","Tucumán","-26.81666667","-65.21666667","Archivo General de la Nación","","","","español","","","http://localhost:4000/independencia/objects/thumbs/acta_sp_ay_1.jpg","",/independencia/items/español.html
"","","","","","","","","","","Image;StillImage","image/jpeg","","","","http://localhost:4000/independencia/objects/thumbs/acta_sp_ay_1.jpg","http://localhost:4000/independencia/objects/acta_sp_ay_1.jpg",/independencia/items/español.html#español_p1
"","","","","","","","","","","Image;StillImage","image/jpeg","","","","http://localhost:4000/independencia/objects/thumbs/acta_sp_ay_2.jpg","http://localhost:4000/independencia/objects/acta_sp_ay_2.jpg",/independencia/items/español.html#español_p2
"","","","","","","","","","","Image;StillImage","image/jpeg","","","","http://localhost:4000/independencia/objects/thumbs/acta_sp_ay_3.jpg","http://localhost:4000/independencia/objects/acta_sp_ay_3.jpg",/independencia/items/español.html#español_p3
"","","","","","","","","","","Image;StillImage","image/jpeg","","","","http://localhost:4000/independencia/objects/thumbs/acta_sp_ay_4.jpg","http://localhost:4000/independencia/objects/acta_sp_ay_4.jpg",/independencia/items/español.html#español_p4

